,name,sam_update,rae_update,tie_grad_coeff_sam,seed_everything,enc_var,val_scale_inv,min_val_scale_inv,val_scale_inv4min_val_loss,val_loss,min_val_loss,val_kl,val_recon_loss,val_recon_loss_sam,val_recon_loss_no_sam,val_grad_loss,latent_dim
0,feasible-sweep-20,True,False,False,87645,0,9.906820164589433e-07,9.436698684205715e-07,9.436698684205715e-07,0.16225352883338928,0.15044845640659332,0.010296457447111608,0.10885061323642732,0.1519570350646973,0.06635590642690659,-1.0,256
1,solar-sweep-19,True,False,False,35684,0,1.1907644015326031e-06,1.1662742639716013e-06,1.1662742639716013e-06,0.09381230175495148,0.09246188402175903,0.009275726974010468,0.07623638212680817,0.08453655987977982,0.06473028659820557,-1.0,256
2,snowy-sweep-17,True,False,False,89,0,1.5447151096404995e-06,1.5447151096404995e-06,1.5447151096404995e-06,0.08378730714321136,0.08378730714321136,0.008827217854559422,0.07267460227012634,0.07496008276939392,0.06410425901412964,-1.0,256
3,different-sweep-18,True,False,False,654,0,1.56130660675673e-06,1.56130660675673e-06,1.56130660675673e-06,0.09860730916261672,0.09860730916261673,0.010894001461565496,0.07912877947092056,0.0877133160829544,0.06949519366025925,-1.0,256
4,brisk-sweep-12,True,False,False,42,0,1.1286561493313664e-06,1.1286561493313664e-06,1.1286561493313664e-06,0.08865664154291153,0.08865664154291153,0.008265336975455284,0.07638968527317047,0.0803913101553917,0.06423821300268173,-1.0,256
5,woven-sweep-16,True,False,False,23567,0,1.1641637509821722e-06,1.1641637509821722e-06,1.1641637509821722e-06,0.08458102494478226,0.08458102494478226,0.008681894280016422,0.07338635623455048,0.075899139046669,0.06856332719326019,-1.0,256
6,bumbling-sweep-13,True,False,False,64,0,1.1685395556117104e-06,1.1685395556117104e-06,1.1685395556117104e-06,0.13877741992473602,0.13877741992473602,0.00971420481801033,0.09657206386327744,0.1290632039308548,0.07009517401456833,-1.0,256
7,devout-sweep-15,True,False,False,5748,0,1.299128471545311e-06,1.299128471545311e-06,1.299128471545311e-06,0.09328551590442656,0.09328551590442657,0.008922221139073372,0.07633497565984726,0.08436330407857895,0.06429721415042877,-1.0,256
8,eternal-sweep-14,True,False,False,982,0,8.875007391217093e-07,8.875007391217093e-07,8.875007391217093e-07,0.09597745537757874,0.09597745537757874,0.00935069750994444,0.07719703763723373,0.08662674576044083,0.07014969736337662,-1.0,256
9,wild-sweep-30,False,False,False,87645,0,5.100432618694718e-07,5.100432618694718e-07,5.100432618694718e-07,0.062055133283138275,0.062055133283138275,0.006396106909960508,0.05565902590751648,0.07304559648036957,0.06066298112273216,-1.0,256
10,logical-sweep-26,False,False,False,89,0,1.1187427233652004e-06,1.1147142701680028e-06,1.1187427233652004e-06,0.07007159292697906,0.07007159292697906,0.005064007360488176,0.06500758975744247,0.06835099309682846,0.0650072991847992,-1.0,256
11,lemon-sweep-28,False,False,False,654,0,1.0244493808676138e-06,1.021825816250428e-06,1.021825816250428e-06,0.07139942049980164,0.07073226571083069,0.006172033026814461,0.06522740423679352,0.06852158159017563,0.06333101540803909,-1.0,256
12,different-sweep-29,False,False,False,35684,0,8.842717132642858e-07,8.842717132642858e-07,8.842717132642858e-07,0.06990737468004227,0.06990737468004227,0.005608620122075081,0.06429876387119293,0.0708964392542839,0.06284161657094955,-1.0,256
13,comic-sweep-25,False,False,False,23567,0,1.044209888798173e-06,1.044209888798173e-06,1.044209888798173e-06,0.06497831642627716,0.06497831642627716,0.006049450486898422,0.05892885848879814,0.07203744351863861,0.06137072667479515,-1.0,256
14,sage-sweep-27,False,False,False,1996,0,1.1305920762313013e-06,1.1305920762313013e-06,1.1305920762313013e-06,0.07059541344642639,0.07059541344642639,0.0052299234084784985,0.0653655081987381,0.06823783367872238,0.06380604952573776,-1.0,256
15,daily-sweep-24,False,False,False,5748,0,9.273538791676442e-07,9.273538791676442e-07,9.273538791676442e-07,0.06260844320058823,0.06260844320058823,0.006816693115979433,0.05579174682497978,0.07324212789535522,0.06099055334925651,-1.0,256
16,smart-sweep-23,False,False,False,982,0,8.49709086162307e-07,8.49709086162307e-07,8.49709086162307e-07,0.0715201199054718,0.0715201199054718,0.006038896273821592,0.06548123806715012,0.06960982829332352,0.06489983201026917,-1.0,256
17,upbeat-sweep-22,False,False,False,64,0,1.0701996096179373e-06,1.0701996096179373e-06,1.0701996096179373e-06,0.0702589675784111,0.0702589675784111,0.005206354893743992,0.06505261361598969,0.06906973570585251,0.06307432055473328,-1.0,256
18,proud-sweep-21,False,False,False,42,0,1.0794643643850704e-06,1.0794643643850704e-06,1.0794643643850704e-06,0.06623059511184692,0.06623059511184692,0.00660371407866478,0.05962689965963363,0.07341469824314117,0.06278645992279053,-1.0,256
19,driven-sweep-17,True,False,False,1996,0,1.5417787347084458e-06,1.5417787347084458e-06,1.5796007203769084e-06,0.07852275669574738,0.07586006820201874,0.004126786254346371,0.07376111298799515,0.07439599186182022,0.0638740137219429,-1.0,256
